DM_INSTITUCION_COD_INSTITUCION,NOMBRE,CCB_NIT_INST,ORDEN,SUBORDEN,NIVEL_INSTITUCION,CLASIFICACION_ORGANICA,SECTOR,NATURALEZA_JURIDICA,TIPO_INSTITUCION,IDMUNICIPIO,MUNICIPIO,IDDEPARTAMENTO,DEPARTAMENTO,DIRECCION,FAX,EMAIL,CCB_TELEFONO,CCB_PAGINA_WEB,LONGITUD,LATITUD,ESTADO_INS,NOMBRE_REPRESENTANTE,CARGO_REPRESENTANTE
8007,MINISTERIO DEL TRABAJO,NULL,NACIONAL,NO APLICA,CENTRAL,RAMA EJECUTIVA,TRABAJO,MINISTERIO,NO APLICA,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CARRERA 14 N 99  33 pisos 6, 7, 10, 11, 12 y 13\r\n""",NULL,NULL,NULL,NO DISPONIBLE,-74.072092,4.710989,ACTIVA,NULL,Ministro
3015,CENTRO DE SALUD SAN JOSE -NIMAIMA,832009187,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,489,NIMAIMA,25,CUNDINAMARCA,"""VIA PASO EL REJO""",NULL,NULL,3134312956,www.hnimaima.gov.co,-74.38555,5.12645,ACTIVA,BENAVIDES CARDENAS KAREN YELIPZA,Gerente Empresa Social Del Estado
6168,CENTRAL DE INVERSIONES S.A.,860042945,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,ESPECIAL,VINCULADAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CALLE 63 N 11  09  """,5460464,cisa@centraldeinversiones.com.co,5460400,http://www.centraldeinversiones.com.co,-74.072092,4.710989,ACTIVA,Nicolas Corso Salamanca,Presidente De Entidad Descentralizada
8003,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,830115395,NACIONAL,NO APLICA,CENTRAL,RAMA EJECUTIVA,AMBIENTE Y DESARROLLO SOSTENIBLE,MINISTERIO,CABEZA,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CALLE 37 N 8  40  """,3323423,correspondencia@minambiente.gov.co,3323400,http://www.minambiente.gov.co,-74.072092,4.710989,ACTIVA,Maria Susana Muhamad Gonzalez,Ministro
2672,CONTRALORIA GENERAL DEL DEPARTAMENTO DEL CHOCO,899999067,TERRITORIAL,DEPARTAMENTAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,CONTRALORÍA DEPARTAMENTAL,NO APLICA,1,QUIBDÓ,27,CHOCÓ,"""Carrea 2 Nro 24 - 68 Piso 2""",NULL,"ricardorenter@hotmail.com
contactenos@contraloria-choco.gov.co",NULL,www.contraloria-choco.gov.co,-76.649812,5.695633,ACTIVA,HENRY CUESTA CORDOBA,Contralor
0876,DIRECCION NACIONAL DE DERECHO DE AUTOR,800185929,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,INTERIOR Y DE JUSTICIA,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,ADSCRITAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CALLE 28 N 13 A 15 piso 17""",2860813,info@derechodeautor.gov.co,3418177,http://www.derechodeautor.gov.co,-74.072092,4.710989,ACTIVA,EDWIN ROBLES CHAPARRO,"Gerente, Presidente O Director General O Nacional De Entidad Descentralizada Ó D"
0310,ALCALDIA DE CURITI,800099489,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,229,CURITÍ,68,SANTANDER,"""CALLE 8 # 8 - 55 PARQUE PRINCIPAL""",0917187245,"lufesama@hotmail.com
contactenos@curiti-santander.gov.co",977187245,http://www.curiti-santander.gov.co,-73.069241,6.604594,ACTIVA,NULL,Alcalde
7342,SOCIEDAD DE ACTIVOS ESPECIALES S.A.S.,900265408,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,ESPECIAL,VINCULADAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CARRERA 17 N 93 A 41 Piso 2""",7431444,saesas@saesas.com.co,7431444,http://www.saesas.com.co,-74.072092,4.710989,ACTIVA,Jose Daniel Rojas Medellin,"Gerente, Presidente O Director General O Nacional De Entidad Descentralizada Ó D"
0602,ALCALDIA DE GAMA,800094684,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,299,GAMA,25,CUNDINAMARCA,"""Carrera 2  No. 3 - 30\r\n""",8536551,alcaldia@gama-cundinamarca.gov.co,8536559,http://www.alcaldiagama-cundinamarca.gov.co,-73.610321,4.762033,ACTIVA,NULL,Alcalde
3566,HOSPITAL SAN ANTONIO DE CHIA,899999156,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,175,CHÍA,25,CUNDINAMARCA,"""Carrera 10 NO.8 - 24""",8630828,hchia21@telecom.com.co,5951230,http://esehospitalchia.gov.co,-74.050916,4.864758,ACTIVA,"RINCON RUA, ROSEMBERG",Gerente Empresa Social Del Estado
3043,CENTRO HOSPITAL LUIS ANTONIO MONTERO POTOSI - NARIÑO,814003182,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,560,POTOSÍ,52,NARIÑO,"""Calle 4 barrio la Unión""",7263020,NULL,3175726484,NO DISPONIBLE,-77.572656,.806982,ACTIVA,NULL,NULL
4286,EMPRESA DE ASEO ACUEDUCTO Y ALCANTARILLADO DE TOLU VIEJO,900303124,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL,VINCULADAS,823,SAN JOSÉ DE TOLUVIEJO,70,SUCRE,"""TOLUVIEJO - SUCRE""",NULL,NULL,3006300125,NO DISPONIBLE,-75.439135,9.452849,ACTIVA,NULL,NULL
3554,HOSPITAL RUBEN CRUZ VELEZ - TULUA,821000831,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,834,TULUÁ,76,VALLE DEL CAUCA,"""Calle 20 No. 14-45""",2313133,NULL,2349600,https://hospitalrubencruzvelez.gov.co,-76.191499,4.089869,ACTIVA,STELLA TAFUR GUERRERO,NULL
0364,UNIVERSIDAD TECNOLOGICA DE PEREIRA,891480035,NACIONAL,NO APLICA,NO APLICA,ORGANOS AUTÓNOMOS,EDUCACIÓN,ENTE UNIVERSITARIO AUTÓNOMO,NO APLICA,1,PEREIRA,66,RISARALDA,"""Carrera 27 No 10 - 02  Barrio Alamos""",3213206,NULL,3137300,http://www.utp.edu.co,-75.690601,4.808717,ACTIVA,NULL,NULL
0927,ALCALDIA DE PUERTO GUZMAN,800222489,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,571,PUERTO GUZMÁN,86,PUTUMAYO,"""Calle 6 No. 2-29""",4295070,NULL,3132839561,http://www.puertoguzman-putumayo.gov.co,-74.78366,-.185957,ACTIVA,EDISON GERARDO MORA ROJAS,NULL
3458,CONCEJO DE ALTOS DEL ROSARIO,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,30,ALTOS DEL ROSARIO,13,BOLÍVAR,"""VACIA""",NULL,NULL,NULL,NO DISPONIBLE,-74.164365,8.792732,ACTIVA,NULL,NULL
1793,CONCEJO DE CANTON DE SAN PABLO,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,135,EL CANTÓN DEL SAN PABLO,27,CHOCÓ,"""CARRERA 5 N º  2 -1""",6708044,NULL,6708044,http://www.elcantondesanpablochoco.gov.co,-76.73137,5.33893,ACTIVA,JHON WILVER CORDOBA VIVAS,NULL
0881,ALCALDIA DE PLANADAS,800100137,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,555,PLANADAS,73,TOLIMA,"""Carrera 6a. No. 5-13 Planadas Tolima""",2265126,NULL,2265033,http://www.planadas-tolima.gov.co,-74.931367,3.856684,ACTIVA,JHON JAIRO HUEJE,NULL
3140,HOSPITAL  OCTAVIO OLIVARES,890985810,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,585,PUERTO NARE,05,ANTIOQUIA,"""Pto Nare""",8347033,NULL,8347172,NO DISPONIBLE,-74.59968,6.2053,ACTIVA,NULL,NULL
0654,ALCALDIA DE HONDA,800100058,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,349,HONDA,73,TOLIMA,"""CARRERA 12 No. 12A-17""",2513500,NULL,2513500,https://www.honda-tolima.gov.co,-74.737081,5.205118,ACTIVA,RICHAR FABIAN CARDOZO CONTRERAS,NULL
8401,EMPRESAS PUBLICAS DE CARAMANTA S.A.S E.S.P,900570704,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL,NO APLICA,145,CARAMANTA,05,ANTIOQUIA,"""CALLE 19   20  87  """,NULL,NULL,8553044,http://www.caramanta-antioquia.gov.co,-75.643707,5.548956,ACTIVA,NULL,NULL
0651,ALCALDIA DE HERVEO,800100057,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,347,HERVEO,73,TOLIMA,"""PALACIO MUNICIPAL PISO 3""",29539028,NULL,3165218276,NO DISPONIBLE,-75.17573,5.08013,ACTIVA,Arbeis  Rojas Rubio,NULL
2931,CENTRO DE SALUD CON CAMA MANUEL H. ZABALETA G.,900063533,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,30,ALTOS DEL ROSARIO,13,BOLÍVAR,"""CALLE CENTRO BARRIO LAS FLOREZ""",NULL,NULL,3145875717,NO DISPONIBLE,-74.164365,8.792732,ACTIVA,NULL,NULL
4381,FONDO ROTATORIO DE VALORIZACION MUNICIPAL - IPIALES,891200549,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,356,IPIALES,52,NARIÑO,"""Carrera 6 No. 8-41 plaza 20 de julio segundo piso""",7732484,NULL,7732531,NO DISPONIBLE,-77.639504,.825542,ACTIVA,NULL,NULL
2862,HOSPITAL SANTA MATILDE,860009555,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,430,MADRID,25,CUNDINAMARCA,"""Carrera 6a No. 11 - 45""",8253324,NULL,8250106,NO DISPONIBLE,-74.262757,4.733779,ACTIVA,NULL,NULL
6119,"SECRETARIA DE CULTURA, RECREACION Y DEPORTE",899999061,TERRITORIAL,DISTRITAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,SECRETARIA DE DESPACHO,ADSCRITAS,1,BOGOTÁ. D.C.,11,BOGOTÁ. D.C.,"""CARRERA 8 N 9  83  """,3385700,NULL,3274850,http://www.culturarecreacionydeporte.gov.co,-74.072092,4.710989,ACTIVA,NULL,NULL
2713,"CORPORACION DE EVENTOS, FERIAS Y ESPECTACULOS DE CALI",800152075,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,1,CALI,76,VALLE DEL CAUCA,"""CARRERA 5 Nº 6-05 OFIC. 301""",8963117,NULL,8963114,http://www.feriacali.com,-76.531985,3.451647,ACTIVA,NULL,NULL
2622,CONCEJO DE YAGUARA,800097180,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,885,YAGUARÁ,41,HUILA,"""Cra. 4 No. 3-91 piso 2 edificio alcaldía Municipal""",8383664,NULL,8383664,NO DISPONIBLE,-75.518334,2.664454,ACTIVA,NULL,NULL
3702,SOR TERESA ADELE EL DONCELLO - CAQUETA,900211460,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,247,EL DONCELLO,18,CAQUETÁ,"""CARRERA 4a. VIA A PUERTO RICO""",4310405,NULL,4310667,NO DISPONIBLE,-75.283335,1.680042,ACTIVA,NULL,NULL
3610,HOSPITAL SAN ROQUE DE EL COPEY,800119945,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,238,EL COPEY,20,CESAR,"""Calle 10 nº 23-37 Barrio San Carlos""",5255069,NULL,5255069,NO DISPONIBLE,-73.960233,10.148976,ACTIVA,NULL,NULL
1847,CONCEJO DE IQUIRA,891180131,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,357,ÍQUIRA,41,HUILA,"""Calle 4  6 - 29""",8394622,NULL,8394622,http://www.iquira-huila.gov.co,-75.635076,2.649516,ACTIVA,NULL,NULL
2237,CONCEJO DE LA TOLA,840000356,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,390,LA TOLA,52,NARIÑO,"""calle 3 palacio municipal barrio la transformación""",NULL,NULL,7476002,http://www.latolanarino.gov.co,-78.189712,2.399572,ACTIVA,JORGE ENRIQUE OCAMPO RIASCOS,NULL
6047,PERSONERIA DE URAMITA,NULL,TERRITORIAL,MUNICIPAL,NO APLICA,ORGANOS DE CONTROL,NO APLICA,PERSONERÍA MUNICIPAL,NO APLICA,842,URAMITA,05,ANTIOQUIA,"""Calle 20 No.17-34""",NULL,NULL,8574060,http://www.uramita-antioquia.gov.co,-76.171665,6.896805,ACTIVA,NULL,NULL
0522,ALCALDIA DE EBEJICO,890983664,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,240,EBÉJICO,05,ANTIOQUIA,"""Carrera 20 No 20-11""",8562190,NULL,8562116,http://www.ebejico-antioquia.gov.co,-75.767345,6.326906,ACTIVA,EDISSON ARIEL TAMAYO MAYA,NULL
6376,ELECTRIFICADORA DEL CAQUETA S.A. E.S.P.,891190127,NACIONAL,NO APLICA,DESCENTRALIZADO,RAMA EJECUTIVA,MINAS Y ENERGIA,EMPRESAS DE SERVICIOS PUBLICOS DOMICILIARIOS - MIXTAS,VINCULADAS,1,FLORENCIA,18,CAQUETÁ,"""CARRERA 1 No. 35-99 BARRIO EL CUNDUY""",44366414,NULL,4366400,http://www.electrocaqueta.com,-75.604236,1.615386,ACTIVA,NULL,NULL
8079,INSTITUTO DE TRANSITO Y TRANSPORTE DE PITALITO,900522279,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,VINCULADAS,551,PITALITO,41,HUILA,"""Calle 1 No. 11-45 Este Barrio Paraíso""",NULL,NULL,8369520,https://www.intrapitalito-huila.gov.co,-76.048869,1.85298,ACTIVA,NULL,NULL
1210,ALCALDIA DE TUNJA,891800846,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,1,TUNJA,15,BOYACÁ,"""Calle 19 No. 9 - 95 Edificio Municipal""",7434260,NULL,7405770,http://www.tunja-boyaca.gov.co,-73.357557,5.544642,ACTIVA,LUIS ALEJANDRO FÚNEME GONZALEZ,NULL
0921,ALCALDIA DE PUERTO CARREÑO,892099305,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,1,PUERTO CARREÑO,99,VICHADA,"""cra 10 No. 15 - 264, Barrio el Centro""",098985654324,NULL,3137994445,http://www.puertocarreno-vichada.gov.co,-67.488462,6.184766,ACTIVA,JAIR ESTEBAN BELTRAN HINOJOSA,NULL
1621,CONCEJO DE CHIMICHAGUA,824000550,TERRITORIAL,MUNICIPAL,NO APLICA,CORPORACIÓN POLÍTICO ADMINISTRATIVA,NO APLICA,CONCEJO MUNICIPAL,NO APLICA,175,CHIMICHAGUA,20,CESAR,"""VACIA""",NULL,NULL,NULL,www.concejosincelejo.gov.co,-73.812877,9.257143,ACTIVA,JOHANNYS IGLESIA HERRERA,NULL
0902,ALCALDIA DE PRADERA,891380115,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,563,PRADERA,76,VALLE DEL CAUCA,"""calle 6 carrera 11 esquina primer piso""",NULL,NULL,2672613,NO DISPONIBLE,-76.242275,3.418186,ACTIVA,NULL,NULL
3179,HOSPITAL  SAN CARLOS - SAN PABLO,891200543,TERRITORIAL,MUNICIPAL,DESCENTRALIZADO,RAMA EJECUTIVA,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,693,SAN PABLO,52,NARIÑO,"""CARRERA 4 CON CALLE 7 ESQUINA""",7286036,NULL,7286036,NO DISPONIBLE,-77.012855,1.669165,ACTIVA,NULL,NULL
0611,ALCALDIA DE GIRARDOT,890680378,TERRITORIAL,MUNICIPAL,CENTRAL,RAMA EJECUTIVA,NO APLICA,ALCALDÍA,ADSCRITAS,307,GIRARDOT,25,CUNDINAMARCA,"""Calle 17 con Carrera 11 Esquina""",8335050,NULL,8314134,http://www.girardot-cundinamarca.gov.co,-74.803141,4.304596,ACTIVA,JOSE FRANCISCO LOZANO SIERRA,NULL
