nombre_entidad,nit_entidad,sector
ALCALDIA DE BECERRIL CESAR,800096576,No aplica/No pertenece
ALCALDIA DE BOLIVAR,890210890,No aplica/No pertenece
ALCALDIA DE BUSBANZA  BOYACA,800099714,No aplica/No pertenece
ALCALDIA DE CAICEDONIA,891900660,Servicio Público
ALCALDIA DE CIUDAD BOLIVAR,890980330,Servicio Público
ALCALDIA DE DABEIBA,890980094,No aplica/No pertenece
ALCALDIA DE EL CARMEN DE BOLIVAR,890480022,Servicio Público
ALCALDIA DE ENCINO,890205114,No aplica/No pertenece
ALCALDIA DE FILANDIA,890001339,Servicio Público
ALCALDIA DE FLANDES,8001000556,Servicio Público
ALCALDIA DE FLORENCIA CAUCA,800188492,No aplica/No pertenece
ALCALDIA DE FLORIDABLANCA,890205176,Servicio Público
ALCALDIA DE GAMA,800094684,No aplica/No pertenece
ALCALDIA DE GAMARRA  CESAR,800096595,Servicio Público
ALCALDIA DE GIRARDOTA,890980807,No aplica/No pertenece
ALCALDIA DE GUATEQUE,800013683,Servicio Público
ALCALDIA DE MOCOA,800102891,No aplica/No pertenece
ALCALDIA DE OCAÑA,890501102,Servicio Público
ALCALDIA DE PALESTINA,891102764,No aplica/No pertenece
ALCALDIA DE PASTO,891280000,Servicio Público
ALCALDIA DE PUERTO COLOMBIA,8000943862,No aplica/No pertenece
ALCALDIA DE PUERTO GUZMAN,800222489,Servicio Público
ALCALDIA DE PUERTO LEGUÍZAMO,891200513,No aplica/No pertenece
ALCALDIA DE SANTA BARBARA,890205973,No aplica/No pertenece
ALCALDIA DE TABIO,899999443,No aplica/No pertenece
ALCALDIA DE TURBACO BOLIVAR,890481149,Servicio Público
ALCALDIA DEL MUNICIPIO DE ACACIAS,892001457,Servicio Público
ALCALDIA DEL MUNICIPIO DE AGUAZUL,891855200,No aplica/No pertenece
ALCALDIA DEL MUNICIPIO DE DIBULLA,825000134,Servicio Público
ALCALDIA DEL MUNICIPIO DEL LA VICTORIA,800006541,Servicio Público
ALCALDIA DISTRITAL BARRANCABERMEJA,890201900,Servicio Público
ALCALDIA DISTRITAL DE BUENAVENTURAVALLE,890399045,"Vivienda, Ciudad y Territorio"
ALCALDIA DISTRITO DE RIOHACHA,892115007,No aplica/No pertenece
ALCALDIA IMUES,800019005,No aplica/No pertenece
ALCALDIA LA LLANADA,8001498940,No aplica/No pertenece
ALCALDIA LOCAL DE ANTONIO NARIÑO,899999061,Servicio Público
ALCALDIA LOCAL DE CIUDAD BOLIVAR,899999061,Servicio Público
ALCALDIA LOCAL DE ENGATIVÁ,899999061,Servicio Público
ALCALDIA LOCAL DE FONTIBON,899999061,Servicio Público
ALCALDIA LOCAL DE KENNEDY,899999061,Servicio Público
ALCALDIA LOCAL DE MARTIRES,899999061,Servicio Público
ALCALDIA LOCAL DE PUENTE ARANDAFONDO DE DESARROLLO LOCAL,899999061,Servicio Público
ALCALDIA LOCAL DE SAN CRISTOBAL,899999061,Servicio Público
ALCALDIA LOCAL DE SUMAPAZ,899999061,Servicio Público
ALCALDIA LOCAL DE TEUSAQUILLOoficial,899999061,Servicio Público
ALCALDIA LOCAL DE TUNJUELITO,899999061,Servicio Público
ALCALDIA LOCAL DE USAQUEN,899999061,Servicio Público
ALCALDIA LOCAL DE USME,899999061,Servicio Público
ALCALDIA LOCAL RAFAEL URIBE URIBE,899999061,Servicio Público
ALCALDIA MUNICIPAL CONTRATACION SANTANDER,890206058,No aplica/No pertenece
ALCALDIA MUNICIPAL CUASPUD CARLOSAMA,800099070,Servicio Público
ALCALDIA MUNICIPAL DE AIPE,891180070,Servicio Público
ALCALDIA MUNICIPAL DE ALBANIA,800099455,Servicio Público
ALCALDIA MUNICIPAL DE ANDALUCIA VALLE DEL CAUCA,891900443,Servicio Público
ALCALDIA MUNICIPAL DE ARATOCA,890205334,Planeación
ALCALDIA MUNICIPAL DE ARMERO GUAYABAL,890700982,Servicio Público
ALCALDIA MUNICIPAL DE ARROYOHONDO,806004900,Servicio Público
ALCALDIA MUNICIPAL DE BARANOA,890112371,Servicio Público
ALCALDIA MUNICIPAL DE BARBOSA SANTANDER,890206033,Servicio Público
ALCALDIA MUNICIPAL DE BRICEÑO BOYACA,800099721,No aplica/No pertenece
ALCALDIA MUNICIPAL DE BUGA,891380033,No aplica/No pertenece
ALCALDIA MUNICIPAL DE CACHIRA,890501776,Servicio Público
ALCALDIA MUNICIPAL DE CALAMAR BOLIVAR,890481362,Servicio Público
ALCALDIA MUNICIPAL DE CAUCASIA,890906445,No aplica/No pertenece
ALCALDIA MUNICIPAL DE CHIA,899999172,Servicio Público
ALCALDIA MUNICIPAL DE CHINCHINA,890801133,Servicio Público
ALCALDIA MUNICIPAL DE CHIPAQUE,899999467,Servicio Público
ALCALDIA MUNICIPAL DE CHIPATA,890208098,No aplica/No pertenece
ALCALDIA MUNICIPAL DE CLEMENCIA BOLIVAR,806000701,No aplica/No pertenece
ALCALDIA MUNICIPAL DE COPER,891801363,Servicio Público
ALCALDIA MUNICIPAL DE COROZAL,892280032,Servicio Público
ALCALDIA MUNICIPAL DE CUMARAL META,8920991849,Servicio Público
ALCALDIA MUNICIPAL DE FACATATIVA,899999328,No aplica/No pertenece
ALCALDIA MUNICIPAL DE FONSECA,892170008,Servicio Público
ALCALDIA MUNICIPAL DE GAMBITA,800099691,Servicio Público
ALCALDIA MUNICIPAL DE GINEBRA,800100520,No aplica/No pertenece
ALCALDIA MUNICIPAL DE GIRARDOT,890680378,Servicio Público
ALCALDIA MUNICIPAL DE GUALMATAN,800083672,Servicio Público
ALCALDIA MUNICIPAL DE GUAMAL MAGDALENA,891780047,No aplica/No pertenece
ALCALDIA MUNICIPAL DE GUAPOTA,890204979,Servicio Público
ALCALDIA MUNICIPAL DE IPIALES  NIVEL CENTRAL,800099095,Servicio Público
ALCALDIA MUNICIPAL DE IZA,891856077,Servicio Público
ALCALDIA MUNICIPAL DE LA JAGUA DE IBIRICO,800108683,Servicio Público
ALCALDIA MUNICIPAL DE LA UNION,890981995,Planeación
ALCALDIA MUNICIPAL DE MALAGA,890205229,No aplica/No pertenece
ALCALDIA MUNICIPAL DE MALLAMA,800099108,Servicio Público
ALCALDIA MUNICIPAL DE MELGAR,890701933,No aplica/No pertenece
ALCALDIA MUNICIPAL DE MOGOTES,890205632,No aplica/No pertenece
ALCALDIA MUNICIPAL DE MORALES CAUCA,891500982,Servicio Público
ALCALDIA MUNICIPAL DE MURILLO,800010350,Servicio Público
ALCALDIA MUNICIPAL DE NOBSA,891855222,Servicio Público
ALCALDIA MUNICIPAL DE NUNCHIA,800099425,Servicio Público
ALCALDIA MUNICIPAL DE PAICOL HUILA,891180194,Servicio Público
ALCALDIA MUNICIPAL DE PALMAS DEL SOCORRO,800003253,Servicio Público
ALCALDIA MUNICIPAL DE PUENTE NACIONAL,890209299,No aplica/No pertenece
ALCALDIA MUNICIPAL DE PUERTO SALGAR,899999413,Servicio Público
ALCALDIA MUNICIPAL DE RESTREPO META,800098199,Servicio Público
ALCALDIA MUNICIPAL DE RICAURTE,800099127,Servicio Público
ALCALDIA MUNICIPAL DE SABOYA,800028517,Servicio Público
ALCALDIA MUNICIPAL DE SAMPUES SUCRE,892280055,Servicio Público
ALCALDIA MUNICIPAL DE SAN ESTANISLAO DE KOSTKA,890481310,No aplica/No pertenece
ALCALDIA MUNICIPAL DE SAN JOSE DE LA MONTAÑA,800022618,Servicio Público
ALCALDIA MUNICIPAL DE SATIVANORTE,800050791,Servicio Público
ALCALDIA MUNICIPAL DE SIMACOTA,890208807,Servicio Público
ALCALDIA MUNICIPAL DE SUPATA,899999398,Servicio Público
ALCALDIA MUNICIPAL DE SURATA,890205051,No aplica/No pertenece
ALCALDIA MUNICIPAL DE TENA,800004574,No aplica/No pertenece
ALCALDIA MUNICIPAL DE TIBIRITA,800094782,No aplica/No pertenece
ALCALDIA MUNICIPAL DE TOPAIPI,800072715,Servicio Público
ALCALDIA MUNICIPAL DE VALLEDUPAR,800098911,Servicio Público
ALCALDIA MUNICIPAL DE VILLA RICA,8170026754,Servicio Público
ALCALDIA MUNICIPAL DE VILLETA,899999312,Servicio Público
ALCALDIA MUNICIPAL DE VIOTÁ,890680142,Servicio Público
ALCALDIA MUNICIPAL DE ZAMBRANO,890481177,No aplica/No pertenece
ALCALDIA MUNICIPAL FUSAGASUGA,890680008,No aplica/No pertenece
ALCALDIA MUNICIPAL GENOVA QUINDIO,890000864,No aplica/No pertenece
ALCALDIA MUNICIPAL LA TEBAIDA QUINDIO,890000564,No aplica/No pertenece
ALCALDIA MUNICIPAL LA VIRGINIA RISARALDA,891480027,Servicio Público
ALCALDIA MUNICIPAL PARATEBUENO,800074120,Servicio Público
ALCALDIA MUNICIPAL PROVIDENCIA Y SANTA CATALINA ISLAS,800103021,Servicio Público
ALCALDIA MUNICIPAL SAN CARLOS,890983740,Servicio Público
ALCALDIA MUNICIPAL TAUSA,899999481,Servicio Público
ALCALDIA MUNICIPIO CARMEN DE CARUPA,899999367,Servicio Público
ALCALDIA MUNICIPIO CARTAGENA DEL CHAIRA,800095754,"Vivienda, Ciudad y Territorio"
ALCALDIA MUNICIPIO DE ANOLAIMA,899999426,No aplica/No pertenece
ALCALDIA MUNICIPIO DE APARTADO,890980095,Servicio Público
ALCALDIA MUNICIPIO DE ARAUCA,800102504,Servicio Público
ALCALDIA MUNICIPIO DE ARJONA  BOLIVAR,8904802541,Servicio Público
ALCALDIA MUNICIPIO DE CAJICA,899999465,Servicio Público
ALCALDIA MUNICIPIO DE CALARCA,890000441,No aplica/No pertenece
ALCALDIA MUNICIPIO DE CALDAS BOYACÁ,891801796,No aplica/No pertenece
ALCALDIA MUNICIPIO DE CANTAGALLO,800253526,Servicio Público
ALCALDIA MUNICIPIO DE CHARALA,890205063,No aplica/No pertenece
ALCALDIA MUNICIPIO DE CIRCASIA QUINDIO,890001044,Servicio Público
ALCALDIA MUNICIPIO DE CISNEROS,890910913,Servicio Público
ALCALDIA MUNICIPIO DE CONFINES,890208947,No aplica/No pertenece
ALCALDIA MUNICIPIO DE CRAVO NORTE,800014434,No aplica/No pertenece
ALCALDIA MUNICIPIO DE CUCAITA,891802089,Servicio Público
ALCALDIA MUNICIPIO DE CUITIVA,8918557697,No aplica/No pertenece
ALCALDIA MUNICIPIO DE DOSQUEBRADAS,800099310,Servicio Público
ALCALDIA MUNICIPIO DE EL PEÑÓN SANTANDER,800213967,No aplica/No pertenece
ALCALDIA MUNICIPIO DE ELIAS  HUILA,8911801328,No aplica/No pertenece
ALCALDIA MUNICIPIO DE GARZON,891180022,Servicio Público
ALCALDIA MUNICIPIO DE GIGANTE HUILA,891180176,"Vivienda, Ciudad y Territorio"
ALCALDIA MUNICIPIO DE GIRON SANTANDER,890204802,Servicio Público
ALCALDIA MUNICIPIO DE JAMUNDI,890399046,No aplica/No pertenece
ALCALDIA MUNICIPIO DE JARDÍN,890982294,Servicio Público
ALCALDIA MUNICIPIO DE LA PAZ,8902053083,Servicio Público
ALCALDIA MUNICIPIO DE LETICIA,899999302,Servicio Público
ALCALDIA MUNICIPIO DE MANZANARES,890802505,Presidencia de la República
ALCALDIA MUNICIPIO DE MONIQUIRA,800099662,No aplica/No pertenece
ALCALDIA MUNICIPIO DE NECOCLI,890983873,No aplica/No pertenece
ALCALDIA MUNICIPIO DE NOCAIMA,899999718,Servicio Público
ALCALDIA MUNICIPIO DE OIBA,890210948,Planeación
ALCALDIA MUNICIPIO DE PUERTO LOPEZ  META,892099325,No aplica/No pertenece
ALCALDIA MUNICIPIO DE QUIBDO,891680011,Servicio Público
ALCALDIA MUNICIPIO DE RICAURTE,890680059,Servicio Público
ALCALDIA MUNICIPIO DE RIONEGRO,890204646,No aplica/No pertenece
ALCALDIA MUNICIPIO DE SAN FRANCISCO,800022791,Servicio Público
ALCALDIA MUNICIPIO DE SAN GIL  SANTANDER,800099824,No aplica/No pertenece
ALCALDIA MUNICIPIO DE SAN JACINTO,800026685,Planeación
ALCALDIA MUNICIPIO DE SAN JOSE DE PARE,800083233,Servicio Público
ALCALDIA MUNICIPIO DE SANTANDER DE QUILICHAO,891500269,No aplica/No pertenece
ALCALDIA MUNICIPIO DE SATIVASUR,8000994412,Servicio Público
ALCALDIA MUNICIPIO DE SOPETRAN,890981080,No aplica/No pertenece
ALCALDIA MUNICIPIO DE SUSACON,891856472,No aplica/No pertenece
ALCALDIA MUNICIPIO DE UMBITA,800099631,No aplica/No pertenece
ALCALDIA MUNICIPIO DE VELEZ,890205677,No aplica/No pertenece
ALCALDIA MUNICIPIO DE VILLANUEVA BOLIVAR,890481192,Servicio Público
ALCALDIA MUNICIPIO DE VILLAVICENCIO,892099324,No aplica/No pertenece
ALCALDIA MUNICIPIO DE ZIPAQUIRA,899999318,Servicio Público
ALCALDIA ORITO,800102896,Servicio Público
ALCALDIA SAN ANDRES,890207022,Ambiente y Desarrollo Sostenible
ALCALDIA SAN JOSE DE MIRANDA,890204890,No aplica/No pertenece
ALCALDÍA  MUNICIPIO DE SIACHOQUE,891801911,Servicio Público
ALCALDÍA DE LA PRIMAVERA  VICHADA,800103308,Servicio Público
ALCALDÍA DE POPAYÁN,891580006,Servicio Público
ALCALDÍA DE PORE,800099429,No aplica/No pertenece
ALCALDÍA DE VILLAGARZON,800054249,Servicio Público
ALCALDÍA DEL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS,890480184,No aplica/No pertenece
ALCALDÍA DEL MUNICIPIO DE SANDONA,800099138,No aplica/No pertenece
ALCALDÍA DISTRITAL DE SANTA MARTA,891780009,Servicio Público
ALCALDÍA LOCAL DE BARRIOS UNIDOS,899999061,Servicio Público
ALCALDÍA LOCAL DE CHAPINERO  FONDO DE DESARROLLO LOCAL,899999061,interior
ALCALDÍA LOCAL DE SUBA,899999061,Servicio Público
ALCALDÍA MUNICIPAL CHIMICHAGUA,892300815,Servicio Público
ALCALDÍA MUNICIPAL CHIVATA,800014989,Servicio Público
ALCALDÍA MUNICIPAL COTA,899999705,Servicio Público
ALCALDÍA MUNICIPAL DE AGUADA,890210928,Servicio Público
ALCALDÍA MUNICIPAL DE AQUITANIA,800077545,Servicio Público
ALCALDÍA MUNICIPAL DE BUENOS AIRES CAUCA,891502307,Servicio Público
ALCALDÍA MUNICIPAL DE CURITI,800099489,No aplica/No pertenece
ALCALDÍA MUNICIPAL DE EL CARMEN DE CHUCURI,890270859,Servicio Público
ALCALDÍA MUNICIPAL DE EL ESPINAL,890702027,Servicio Público
ALCALDÍA MUNICIPAL DE EL PASO,800096592,No aplica/No pertenece
ALCALDÍA MUNICIPAL DE EL PIÑÓN MAGDALENA,891780049,Servicio Público
ALCALDÍA MUNICIPAL DE EL SOCORRO,890203688,Servicio Público
ALCALDÍA MUNICIPAL DE GACHANTIVÁ,800020045,Servicio Público
ALCALDÍA MUNICIPAL DE LA JAGUA DEL PILAR,825000676,Servicio Público
ALCALDÍA MUNICIPAL DE LA PINTADA,811009017,Servicio Público
ALCALDÍA MUNICIPAL DE LURUACO,890103003,Servicio Público
ALCALDÍA MUNICIPAL DE MADRID CUNDINAMARCA,899999325,Servicio Público
ALCALDÍA MUNICIPAL DE NILO,899999707,Servicio Público
ALCALDÍA MUNICIPAL DE NUEVO COLON,800033062,No aplica/No pertenece
ALCALDÍA MUNICIPAL DE PATÍA,891502194,Servicio Público
ALCALDÍA MUNICIPAL DE PUERTO BOYACÁ  BOYACÁ,891800466,No aplica/No pertenece
ALCALDÍA MUNICIPAL DE PUERTO SANTANDER NORTE DE SANTANDER,800250853,agricultura
ALCALDÍA MUNICIPAL DE RÁQUIRA,891801244,Servicio Público
ALCALDÍA MUNICIPAL DE SAN JOAQUIN SANTANDER,890208676,Servicio Público
ALCALDÍA MUNICIPAL DE SANTA MARÍA HUILA,8911800763,Planeación
ALCALDÍA MUNICIPAL DE SOPO,899999468,No aplica/No pertenece
ALCALDÍA MUNICIPAL DE TIPACOQUE,800099187,No aplica/No pertenece
ALCALDÍA MUNICIPAL DE TOTA,800012635,Servicio Público
ALCALDÍA MUNICIPAL DE ZONA BANANERA,819003297,Servicio Público
ALCALDÍA MUNICIPAL EL TARRA,800138959,agricultura
ALCALDÍA MUNICIPIO DE BELLO,890980112,No aplica/No pertenece
ALCALDÍA MUNICIPIO DE GÜICÁN,800099202,No aplica/No pertenece
ALCALDÍA MUNICIPIO DE ICONONZO,800100059,Servicio Público
ALCALDÍA MUNICIPIO DE ISNOS,800097098,Servicio Público
ALCALDÍA MUNICIPIO DE OPORAPA  HUILA,891180179,Servicio Público
ALCALDÍA MUNICIPIO DE PALMIRA,891380007,Servicio Público
ALCALDÍA MUNICIPIO DE RIOSUCIO CHOCÓ,891680079,Servicio Público
ALCALDÍA MUNICIPIO DE SAN JOSÉ DE FRAGUA,800095782,Servicio Público
ALCALDÍA MUNICIPIO DE SAN ROQUE,890980850,Servicio Público
ALCALDÍA MUNICIPIO DE VENADILLO,800100144,No aplica/No pertenece
ALCALDÍA MUNICIPIO LA PLAYA DE BELÉN,800000681,No aplica/No pertenece
ALCALDÍA PÁRAMO SANTANDER,800099819,Servicio Público
AMAZONAS  CONTRALORIA DEPARTAMENTAL DEL AMAZONAS,838000110,Servicio Público
AMAZONAS DESARROLLO INTELIGENTE,901544996,"Vivienda, Ciudad y Territorio"
AQUATERRA EMPRESA DE SERVICIOS PUBLICOS,811013060,No aplica/No pertenece
AREA METROPOLITANA CENTRO OCCIDENTE,891410902,Planeación
AREA METROPOLITANA DE BUCARAMANGA,890210581,Planeación
AREA METROPOLITANA DE CUCUTA,800153197,No aplica/No pertenece
AREA METROPOLITANA DE VALLEDUPAR,900187817,Servicio Público
AREA METROPOLITANA DEL VALLE DE ABURRA,890984423,Ambiente y Desarrollo Sostenible
ARMADA NACIONAL DE COLOMBIA DISPENSARIO MÉDICO NIVEL I BAHÍA MÁLAGA,901540793,defensa
ASAMBLEA DEPARTAMENTAL DE ANTIOQUIA,890900286,Servicio Público
ASAMBLEA DEPARTAMENTAL DE ARAUCA,834000214,Servicio Público
ASAMBLEA DEPARTAMENTAL DE BOLIVAR,806005597,No aplica/No pertenece
ASAMBLEA DEPARTAMENTAL DE BOYACÁ,8000547438,Servicio Público
ASAMBLEA DEPARTAMENTAL DE CASANARE,800228493,No aplica/No pertenece
ASAMBLEA DEPARTAMENTAL DE CORDOBA,812000941,Servicio Público
ASAMBLEA DEPARTAMENTAL DE CUNDINAMARCA,899999716,No aplica/No pertenece
ASAMBLEA DEPARTAMENTAL DE NARIÑO,814000982,Servicio Público
ASAMBLEA DEPARTAMENTAL DE RISARALDA,891480085,No aplica/No pertenece
ASAMBLEA DEPARTAMENTAL DE SANTANDER,800093948,No aplica/No pertenece
ASAMBLEA DEPARTAMENTAL DE SUCRE,800051900,Servicio Público
ASAMBLEA DEPARTAMENTAL DEL ATLANTICO,890107615,No aplica/No pertenece
ASAMBLEA DEPARTAMENTAL DEL CESAR,824003142,Servicio Público
ASAMBLEA DEPARTAMENTAL DEL HUILA,8001039134,No aplica/No pertenece
ASAMBLEA DEPARTAMENTAL DEL MAGDALENA,891780205,Servicio Público
ASAMBLEA DEPARTAMENTAL DEL META,800064846,No aplica/No pertenece
ASAMBLEA DEPARTAMENTAL DEL N DE S,890503639,Servicio Público
ASAMBLEA DEPARTAMENTAL DEL QUINDÍO,8900016391,Servicio Público
ASAMBLEA DEPARTAMENTAL DEL TOLIMA,809000799,Servicio Público
ASEOBANDO ESP  SA,9002394535,"Vivienda, Ciudad y Territorio"
ASOCIACION AEROPUERTO DEL CAFE,900240084,Servicio Público
ASOCIACION CABLE AEREO MANIZALES,900315506,Transporte
ASOCIACION COLOMBIANA DE CIUDADES CAPITALES ASOCAPITALES,900638550,Planeación
ASOCIACION DE MUNICIPIOS DE LA PROVINCIA DE LENGUPA,800214221,Servicio Público
ASOCIACION DE MUNICIPIOS DE LA SUBREGION CENTRO SUR DE CALDAS,901137263,No aplica/No pertenece
ASOCIACION DE MUNICIPIOS DEL ARIARI,822002858,No aplica/No pertenece
ASOCIACION DE MUNICIPIOS DEL CAQUETAAMDELCA,900029195,No aplica/No pertenece
ASOCIACION DE MUNICIPIOS DEL CATATUMBO PROVINCIA DE OCAÑA Y SUR DEL CESAR,800244263,Servicio Público
ASOCIACION DE MUNICIPIOS DEL META,900056772,No aplica/No pertenece
ASOCIACION DE MUNICIPIOS DEL OCCIDENTE ANTIOQUEÑO,900796602,No aplica/No pertenece
ASOCIACIÓN CANAL LOCAL DE TELEVISIÓN DE MEDELLIN  TELEMEDELLIN,811006762,Tecnologías de la Información y las Comunicaciones
ASOCIACIÓN DE MUNICIPIOS DEL NORTE ANTIOQUEÑO AMUNORTE,8110303954,No aplica/No pertenece
ASOCIACIÓN DE MUNICIPIOS DEL URABÁ NORTE,9014576586,Servicio Público
ASOCIACIÓN DE MUNICIPIOS PUEBLOS DE OCCIDENTE,901438303,No aplica/No pertenece
ASOMSURCA,830504349,agricultura
ATLÁNTICO  INSTITUCION EDUCATIVA JESUS MAESTRO,802019228,Educación Nacional
Agencia de Cooperación e Inversión de Medellín y el Área Metropolitana,811036423,Servicio Público
Aguas de Castilla SA ESP,900258798,Ambiente y Desarrollo Sostenible
Alcaldia Municipal de Sutamarchan,800030988,Servicio Público
Alcaldia de El Contadero,8000990649,Servicio Público
Alcaldía De Villamaria,890801152,Servicio Público
Alcaldía Municipal De Hatonuevo,800255101,No aplica/No pertenece
Alcaldía Municipal de San Juan del Cesar,8921151790,No aplica/No pertenece
Alcaldía Municipal de San Martín Cesar,892301093,No aplica/No pertenece
Alcaldía Municipal de Socha,800099210,No aplica/No pertenece
Aseo de la Merced SAS ES P,900745263,"Vivienda, Ciudad y Territorio"
Asociacion de Municipios y Esquema Asociativo Territorial denominado Desarrollo Sostenible y Equidad Territorial,901508797,No aplica/No pertenece
BANCO INMOBILIARIO DE FLORIDABLANCA,9000158719,No aplica/No pertenece
BATALLON DE APOYO Y SERVICIO PARA EL COMBATE N15,818000606,defensa
BATALLON DE APOYO Y SERVICIOS PARA EL COMBATE NO 27,846000064,defensa
BATALLON DE INFANTERIA DE SELVA No 49,800131362,defensa
BENEFICENCIA DE CUNDINAMARCA,899999072,Salud y Protección Social
BENEFICENCIA DEL VALLE DEL CAUCA EICE,890399027,Industria
BIBLIOTECA DEPARTAMENTAL JORGE GARCES BORRERO,890399039,Cultura
BIBLIOTECA PUBLICA PILOTO DE MEDELLIN PARA AMERICA LATINA,890980150,Cultura
BOLIVAR  ESE HOSPITAL UNIVERSITARIO DEL CARIBE,900042103,Salud y Protección Social
BOMBEROS DE BUCARAMANGA,800022620,No aplica/No pertenece
C  ESE HOSPITAL MARINO ZULETA RAMIREZ,824000204,Salud y Protección Social
CABRERANA DE SERVICIOS PUBLICOS SA ESP,900253669,Ambiente y Desarrollo Sostenible
CAJA DE LA VIVIENDA POPULAR,899999074,"Vivienda, Ciudad y Territorio"
CAJA DE PREVISION SOCIAL MUNICIPAL DE BUCARAMANGA,890204851,No aplica/No pertenece
CAMARA DE COMERCIO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,892400080,Industria
CANAL CAPITAL,830012587,Cultura
CARVAJAL LABORATORIOS IPS SAS,900152996,Salud y Protección Social
CASA DE LA CULTURA JESUS ANGEL GONZALEZ ARIAS,8280006669,Cultura
CASA DE LA CULTURA JORGE ELIECER GAITAN,892000430,Cultura
CASA DE LA CULTURA MUNICIPAL DE CACHIRA NORTE DE SANTANDER,807004246,Cultura
CASA DEL VALLE GOBERNACION DEL VALLE,8903990295,Servicio Público
CASA DEL Y LA MENOR MARCO FIDEL SUÁREZ,891801333,Inclusión Social y Reconciliación
CASA MUNICIPAL DE LA CULTURA,800185741,Cultura
CATEDRAL DE SAL DE ZIPAQUIRÁ SASEM,832006568,Ambiente y Desarrollo Sostenible
CCPSF,800219006,Cultura
CEHANI ESE,8912006381,Salud y Protección Social
CEM EL CAMPANERO,814002486,Educación Nacional
CENTRAL ADMINISTRATIVA Y CONTABLE  CENAC TUNJA,800130646,defensa
CENTRAL ADMINISTRATIVA Y CONTABLE BARRANQUILLA,800130653,defensa
CENTRAL ADMINISTRATIVA Y CONTABLE CENAC PERSONAL,900385079,defensa
CENTRAL DE TRANSPORTES ESTACION CUCUTA,8905014335,Transporte
CENTRAL DE URGENCIAS LOUIS PASTEUR ESE,890702369,Salud y Protección Social
CENTRO CULTURAL BACATA,832006487,Servicio Público
CENTRO DE DIAGNOSTICO AUTOMOTOR DE NARIÑO LTDA,800206629,Transporte
CENTRO DE DIAGNOSTICO AUTOMOTOR DE TULUA LIMITADA,800235528,Transporte
CENTRO DE DIAGNOSTICO AUTOMOTOR DEL VALLE LIMITADA,890311425,Transporte
CENTRO DE FORMACION INTEGRAL PARA EL TRABAJO  CEFIT,811031876,Educación Nacional
